Code,Class title
1111,Oilseed and grain farming
1112,Vegetable and melon farming
1113,Fruit and tree nut farming
1114,"Greenhouse, nursery and floriculture production"
1119,Other crop farming
1121,Cattle ranching and farming
1122,Hog and pig farming
1123,Poultry and egg production
1124,Sheep and goat farming
1125,Aquaculture
1129,Other animal production
1131,Timber tract operations
1132,Forest nurseries and gathering of forest products
1133,Logging
1141,Fishing
1142,Hunting and trapping
1151,Support activities for crop production
1152,Support activities for animal production
1153,Support activities for forestry
2111,Oil and gas extraction
2121,Coal mining
2122,Metal ore mining
2123,Non-metallic mineral mining and quarrying
2131,"Support activities for mining, and oil and gas extraction"
2211,"Electric power generation, transmission and distribution"
2212,Natural gas distribution
2213,"Water, sewage and other systems"
2361,Residential building construction
2362,Non-residential building construction
2371,Utility system construction
2372,Land subdivision
2373,"Highway, street and bridge construction"
2379,Other heavy and civil engineering construction
2381,"Foundation, structure, and building exterior contractors"
2382,Building equipment contractors
2383,Building finishing contractors
2389,Other specialty trade contractors
3111,Animal food manufacturing
3112,Grain and oilseed milling
3113,Sugar and confectionery product manufacturing
3114,Fruit and vegetable preserving and specialty food manufacturing
3115,Dairy product manufacturing
3116,Meat product manufacturing
3117,Seafood product preparation and packaging
3118,Bakeries and tortilla manufacturing
3119,Other food manufacturing
3121,Beverage manufacturing
3122,Tobacco manufacturing
3123,Cannabis product manufacturing
3131,"Fibre, yarn and thread mills"
3132,Fabric mills
3133,Textile and fabric finishing and fabric coating
3141,Textile furnishings mills
3149,Other textile product mills
3151,Clothing knitting mills
3152,Cut and sew clothing manufacturing
3159,Clothing accessories and other clothing manufacturing
3161,Leather and hide tanning and finishing
3162,Footwear manufacturing
3169,Other leather and allied product manufacturing
3211,Sawmills and wood preservation
3212,"Veneer, plywood and engineered wood product manufacturing"
3219,Other wood product manufacturing
3221,"Pulp, paper and paperboard mills"
3222,Converted paper product manufacturing
3231,Printing and related support activities
3241,Petroleum and coal product manufacturing
3251,Basic chemical manufacturing
3252,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing"
3253,"Pesticide, fertilizer and other agricultural chemical manufacturing"
3254,Pharmaceutical and medicine manufacturing
3255,"Paint, coating and adhesive manufacturing"
3256,"Soap, cleaning compound and toilet preparation manufacturing"
3259,Other chemical product manufacturing
3261,Plastic product manufacturing
3262,Rubber product manufacturing
3271,Clay product and refractory manufacturing
3272,Glass and glass product manufacturing
3273,Cement and concrete product manufacturing
3274,Lime and gypsum product manufacturing
3279,Other non-metallic mineral product manufacturing
3311,Iron and steel mills and ferro-alloy manufacturing
3312,Steel product manufacturing from purchased steel
3313,Alumina and aluminum production and processing
3314,Non-ferrous metal (except aluminum) production and processing
3315,Foundries
3321,Forging and stamping
3322,Cutlery and hand tool manufacturing
3323,Architectural and structural metals manufacturing
3324,"Boiler, tank and shipping container manufacturing"
3325,Hardware manufacturing
3326,Spring and wire product manufacturing
3327,"Machine shops, turned product, and screw, nut and bolt manufacturing"
3328,"Coating, engraving, cold and heat treating and allied activities"
3329,Other fabricated metal product manufacturing
3331,"Agricultural, construction and mining machinery manufacturing"
3332,Industrial machinery manufacturing
3333,Commercial and service industry machinery manufacturing
3334,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing"
3335,Metalworking machinery manufacturing
3336,"Engine, turbine and power transmission equipment manufacturing"
3339,Other general-purpose machinery manufacturing
3341,Computer and peripheral equipment manufacturing
3342,Communications equipment manufacturing
3343,Audio and video equipment manufacturing
3344,Semiconductor and other electronic component manufacturing
3345,"Navigational, measuring, medical and control instruments manufacturing"
3346,Manufacturing and reproducing magnetic and optical media
3351,Electric lighting equipment manufacturing
3352,Household appliance manufacturing
3353,Electrical equipment manufacturing
3359,Other electrical equipment and component manufacturing
3361,Motor vehicle manufacturing
3362,Motor vehicle body and trailer manufacturing
3363,Motor vehicle parts manufacturing
3364,Aerospace product and parts manufacturing
3365,Railroad rolling stock manufacturing
3366,Ship and boat building
3369,Other transportation equipment manufacturing
3371,Household and institutional furniture and kitchen cabinet manufacturing
3372,Office furniture (including fixtures) manufacturing
3379,Other furniture-related product manufacturing
3391,Medical equipment and supplies manufacturing
3399,Other miscellaneous manufacturing
4111,Farm product merchant wholesalers
4121,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers"
4131,Food merchant wholesalers
4132,Beverage merchant wholesalers
4133,Cigarette and tobacco product merchant wholesalers
4134,Cannabis merchant wholesalers
4141,"Textile, clothing and footwear merchant wholesalers"
4142,Home entertainment equipment and household appliance merchant wholesalers
4143,Home furnishings merchant wholesalers
4144,Personal goods merchant wholesalers
4145,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers"
4151,Motor vehicle merchant wholesalers
4152,New motor vehicle parts and accessories merchant wholesalers
4153,Used motor vehicle parts and accessories merchant wholesalers
4161,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers"
4162,Metal service centres
4163,"Lumber, millwork, hardware and other building supplies merchant wholesalers"
4171,"Farm, lawn and garden machinery and equipment merchant wholesalers"
4172,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers"
4173,Computer and communications equipment and supplies merchant wholesalers
4179,"Other machinery, equipment and supplies merchant wholesalers"
4181,Recyclable material merchant wholesalers
4182,"Paper, paper product and disposable plastic product merchant wholesalers"
4183,Agricultural supplies merchant wholesalers
4184,Chemical (except agricultural) and allied product merchant wholesalers
4185,"Mineral, ore and precious metal merchant wholesalers"
4186,"Log, wood chips, and other wood products merchant wholesalers"
4189,Other miscellaneous merchant wholesalers
4191,"Business-to-business electronic markets, and agents and brokers"
4411,Automobile dealers
4412,Other motor vehicle dealers
4413,"Automotive parts, accessories and tire retailers"
4441,Building material and supplies dealers
4442,Lawn and garden equipment and supplies retailers
4451,Grocery and convenience retailers
4452,Specialty food retailers
4453,"Beer, wine and liquor retailers"
